Código,Descrição,Tradução,Causas possíveis,Recomendações,
100-2,"Oil Pressure Sensor: Erratic, Intermitent or Incorrect","Sensor de Pressão Óleo Lubrificante - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
100-3,Lube Oil Pressure Sensor: Voltagem Above Normal,Sensor de Pressão Óleo Lubrificante - Voltagem acima do normal,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
10-5,Cylinder #10 Injector: Current Below Normal,Injetor #10 - Corrente abaixo do normal - Circuito Aberto,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,
105-3,Inlet Manifold Temperature Sensor:Voltage Above Normal,Sensor de temperatura do coletor de admissão: tensão acima do normal,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
110-3,Engine Coolant Temperature Sensor:Voltage Above Normal,Sensor de temperatura de arrefecimento: Voltagem alta,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
279-3,Aftercooler Coolant Temperature Sensor (Front):Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
289-2,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect","Sensor de pressão de combustível - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
289-3,Fuel Pressure Sensor - Before Fuel Filter: Voltage Above Normal,Sensor de pressão de combustível: Voltagem abaixo do normal,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
4-5,Cylinder #4 Injector:Current Below Normal,Injetor #4 - Corrente abaixo do normal - Circuito Aberto,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,
542-2,"Oil Pressure Sensor - Before Filter: Erratic, Intermitent or Incorrect","Sensor de Pressão Óleo Lubrificante - Antes do Filtro - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E9(2),High Altitude Derate,,"Sensor defeituoso, chicote defeituoso.",Checagem do sensor e chicote; Troca do sensor e chicote.,
54-2,"High Fuel Temperature Derate - Erratic, Intermittent, or Incorrect","Alta temperatura de combustível reduzida - Errado, Intermitente ou Incorreto","Válvula reguladora de pressão de combustível, Nível de combustível, Linhas de combustível, Motor superaquecido.","Inspecionar a válvula reguladora de pressão de combustível de retorno. Certificar-se de que o tanque de combustível contém combustível suficiente. À medida que o nível do tanque de combustível diminui, a temperatura do combustível geralmente aumenta. Certificar-se de que o fluxo de retorno de combustível para o tanque de combustível não esteja obstruído. ",
542-3,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,Sensor de pressão de óleo lubrificante - Antes do Filtro: Voltagem alta,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
0-9,Engine Control Module:Abnormal Update Rate,Módulo de Controle do Motor: Taxa anormal de atualização,"Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor (ECM) defeituoso, chicote defeituoso.",Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,
590-9,Engine Control Module:Abnormal Update Rate,Módulo de Controle do Motor: Taxa anormal de atualização,"Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor (ECM) defeituoso, chicote defeituoso.",Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,
827-8,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",Sensor de temperatura de exaustão - Bancada da Esquerda: Sinal anormal,Instabilidade no Sensor de temperatura de exaustão - Bancada da Esquerda.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,
828-8,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",Sensor de temperatura de exaustão - Bancada da Direita: Sinal anormal,Instabilidade no Sensor de temperatura de exaustão - Bancada da direita.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,
8-5,Cylinder #8 Injector:Current Below Normal,Injetor #8 - Corrente abaixo do normal - Circuito Aberto,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,
91-13,Throttle Position Sensor: Out of Calibration,Sensor de Posição do Acelerador: Fora da Calibração,Falta de calibração sensor de posição do acelerador.,A calibração do sensor de posição do acelerador requer o uso do Cat ET.,
91-8,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",Sensor de posição do acelerador: Sinal anormal,Instabilidade no sinal de posição do acelerador.,Monitorar o sinal de posição do acelerador recebido pelo ECM do motor através do CAT ET. Verificar a estabilidade do sinal quando o acelerador está parado e sua calibração,
94-2,"Fuel Delivery Pressure Sensor: Erratic, Intermittent, or Incorrect","Sensor de pressão de entrada de combustível - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
94-3,Fuel Delivery Pressure Sensor: Voltage Above Normal,Sensor de Pressão de Entrada de Combustível - Voltagem Alta,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E100,Low Engine Oil Pressure Warning,Baixa pressão de óleo lubrificante,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",
E101(1),High Crankcase Pressure Warning,Pressão do cárter acima do limite por um longo período de tempo - Alerta,Respiro do cárter bloqueado/coagulado. Desgaste excessivo dos componentes do motor.,"Checagem do blowby, guias de válvulas, selos do turbocompressor, respiro do motor/separador de óleo. O incorreto funcionamento do respiro do motor também pode causar vazamentos nos retentores do eixo virabrequim, pela elevada pressão no cárter.",
E16(3),High Engine Coolant Temperature Shutdown,Alta temperatura de arrefecimento - Shutdown,"Baixo nível do líquido de arrefecimento, ar no sistema de arrefecimento, vazamento de fluido, mangueiras danificadas, aftercooler defeituoso, bomba de líquido arrefecedor de água com revestimento defeituoso.","Verificar se o motor está operando com cargas muito altas. Verificar regulador de temperatura, se existe ar no sistema de arrefecimento, vazamento de fluido de arrefecimento, mangueiras danificadas e/ou aftercooler defeituoso.",
E173(1),High Exhaust Temperature Warning,Alerta de Alta Temperatura de Gasas de Descarga,"Restrição da vazão de ar de admissão, vazamento no coletor de admissão ou descarga, retrição na descarga, injetores defeituosos, redução de performance do aftercooler.","Chegagem da entrada de ar do motor a procura de restrições ou vazamentos, checagem do coletor de descarga a procura de vazamentos entre o coletor e o turbo-compressor, checagem da saída da descarga de gases a procura de restrições ou alta co ntra-pressão, checagem da performance dos injetores, checagem do aftercooler a procura de vazamentos ou entupimento das aletas internas.",
E190(1),Engine Overspeed Warning,Sobrevelocidade do motor - Alerta,Remoção de carga brusca no motor; Ar de admissão combustível.,Diminuição gradual de carga desse motor. Análise da atmosfera do ar de admissão do motor.,
E198(3),Low Fuel Pressure,Baixa pressão de combustível,"Tampa do tanque de combustível, Válvula reguladora de pressão de combustível, Válvula de alívio de pressão de combustível, Nível de combustível.","Verificar tampa do tanque de combustível, válvula reguladora de pressão de combustível, válvula de alívio de p ressão de combustível e nível de combustível.",
E21(2),High Exhaust Temperature Derate,Derate - Alta Temperatura de Gases de Descarga,"Restrição da vazão de ar de admissão, vazamento no coletor de admissão ou descarga, retrição na descarga, injetores defeituosos, redução de performance do aftercooler.","Checagem da entrada de ar do motor a procura de restrições ou vazamentos, checagem do coletor de descarga a procura de vazamentos entre o coletor e o turbo-compressor, checagem da saída da descarga de gases a procura de restrições ou alta co ntra-pressão, checagem da performance dos injetores, checagem do aftercooler a procura de vazamentos ou entupimento das aletas internas.",
E225(3),Engine Overcrank,Tempo de partida ultrapassado,"Códigos de diagnóstico, Códigos de eventos, Abastecimento de combustível, Fonte de alimentação elétrica para o Módulo de Controle Eletrônico (ECM), Auxílios de partida (se aplicável), Chaves de desligamento do motor (se aplicável), Velocidade do motor/timing, Injetores unitários.","Verificar o sistema de combustível, chicote de alimentação do ECM, chaves de parada, injetores e timing do motor.",
E264(3),Emergency Stop Activated,Alerta de botoeira de emergência ativada,Botoeira de emergência pressionada,Verificar o correto funcionamento das botoeiras de emergência,
E272(1),Inlet Air Restriction Warning,Derate - Restrição do Filtro de Ar de Admissão,Filtro de ar bloqueado/coagulado.,Checagem do filtro de ar e tubulações de admissão do motor.,
E31(2),Air Filter Restriction Derate,Restrição do Filtro de Ar de Admissão - Alerta,Filtro de ar bloqueado/coagulado.,Checagem do filtro de ar e tubulações de admissão do motor.,
E38(1),Low Engine Coolant Temperature Warning,Baixa Temperatura de Líquido de Arrefecimento - Alerta,Operação em fatores de carga altos com baixa temperatura do sistema de arrefecimento. Aumento brusco do fator de carga no motor com temperatura baixa de arrefecimento.,"Operação em fatores de carga muito baixos, Antes de assumir cargas altas, o motor deve ser preaquecido até a temperatura de trabalho; Utilização de aquecedor de água de jaqueta.",
E4(3),Engine Overspeed Shutdown,Sobrevelocidade do motor - Shutdown,O shutdown ocorre quando o motor encontra-se em sobrevelocidade por um período de tempo elevado.,Diminuição gradual de carga desse motor. Análise da atmosfera do ar de admissão do motor.,
E40,Low Engine Oil Pressure Shutdown,Pressão de óleo lubrificante baixa com Shutdown,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",
E48(1),Backup ECM Took Control,ECM secundário assume controle do motor,"Tensão da bateria do ECM principal, Perda do sinal do ECM principal, códigos de diagnóstico para as solenóides do injetor, condição de sobrevelocidade do motor.",O ECM secundário assumirá o controle de governar o motor se o sinal de pulsação do ECM principal para o ECM secundário for interrompido. Verifique se o fio que transporta o sinal de pulsação do ECM principal para o ECM secundário não está aberto ou se o fio não está em curto.,
E95(1),Fuel Filter Restriction Warning,Alerta de restrição do Filtro de Combustível,Aumento do diferencial de pressão no filtro de combustível; Necessidade de troca do filtro de combustível; Instalação incorreta dos sensores de pressão de entrada/saída de combustível.,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros de combustível.,
E99(1),Engine Oil Filter Restriction Warning,Restrição do Filtro de óleo - Alerta,Aumento do diferencial de pressão no filtro de óleo; Necessidade de troca do filtro de óleo; Instalação incorreta dos sensores de pressão de entrada/saída de óleo.,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros.,
2739-3,Turbocharger #2 Compressor Inlet Pressure Sensor:Voltage Above Normal,"
Turbocompressor # 2 Sensor de Pressão de Entrada do Compressor: Voltagem Acima do Normal","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
289-4,Fuel Pressure Sensor - Before Fuel Filter:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
263-4,Digital Sensor Power Supply (8V Or 12V):Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E2143(1) ,Low Engine Coolant Level,Baixo nível de liquido de arrefecimento.,Baixo nível de liquido de arrefecimento.,"Checar por vazamentos no sistema de arrefecimento, aftercoolers, trocadores de calor.",
168-1,Electrical System Voltage: Low,,A tensão de alimentação da bateria é inferior a 9 VDC por dois segundos. O ECM do motor foi alimentado por três segundos. O motor não está sendo acionado.,,
168-2,"Electrical System Voltage: Erratic, Intermittent, or Incorrect",,"O motor está funcionando. A tensão da bateria cai abaixo de 9 VDC por pelo menos 0,06 segundos. A voltagem retorna acima de 9 VDC ou Três leituras de tensão nos últimos sete segundos ficaram abaixo de 9 VDC.",,
342-8,"Secondary Engine Speed Sensor:Abnormal Frequency, Pulse Width, or Period ","Sensor secundário de velocidade do motor:  Frequência anormal, largura de pulso, ou período",Quando a velocidade do motor é maior que zero rpm e o padrão do anel de temporização está incorreto por cinco segundos.,"Estabelecer comunicação com o ECM principal. Se a comunicação com o ECM primário não puder ser estabelecida, verifique se a te nsão está presente no ECM principal. Verifique se o fio que transporta o sinal de pulso do ECM principal para o ECM secundário não tem uma abertura ou se o fio não está em curto.",
190-8,"Engine Speed Sensor:Abnormal Frequency, Pulse Width, or Period ","Sensor de velocidade do motor: Frequência anormal, largura de pulso, ou período","
Voltagem da bateria para o ECM principal, Perda do sinal primário de pulsação ECM, Códigos de diagnóstico para as solenóides do injetor, Condição de excesso de velocidade do motor","
Estabelecer comunicação com o ECM principal. Se a comunicação com o ECM primário não puder ser estabelecida, verifique se a tensão está presente no ECM principal. Verifique se o fio que transporta o sinal de pulso do ECM principal para o ECM secundário não tem uma abertura ou se o fio não está em curto.",
10-2,"Cylinder #10 Injector:Erratic, Intermittent, or Incorrect","Cilindro #10 injetor: Errado, Intermitente, Incorreto",Instabilidade no sinal do bico injetor #10.,Monitorar o sinal do bico injetor recebido pelo ECM do motor através do CAT ET. Verificar a estabilidade do sinal e sua calibração,
28-2,"Variable Geometry Turbocharger Actuator #2:Erratic, Intermittent, or Incorrect","Atuador turbocharger de geometria variável #2: Errado, Intermitente, Incorreto",Instabilidade no sinal do atuador de geometria variável do turbocharger #2.,Monitorar o sinal do atuador de geometria variável do turbocharger recebido pelo ECM do motor através do CAT ET. Verificar a estabilidade do sinal e sua calibração,
E15,High Engine Coolant Temperature Derate,Alta temperatura do líquido de arrefecimento do motor,"Baixo nível do líquido de arrefecimento, qualidade do refrigerante, ar no sistema de arrefecimento, radiador, vazamento de refrigerante, ventilador de refrigeração do radiador defeituoso (se aplicável), mangueiras danificadas, regulador de temperatura com defeito, bomba de líquido arrefecedor de água com revestimento defeituoso, aftecooler ou carga excessiva no sistema.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",
E17(2),High Engine Coolant Temperature Derate,Alta temperatura do líquido de arrefecimento do motor,"Baixo nível do líquido de arrefecimento, qualidade do refrigerante, ar no sistema de arrefecimento, radiador, vazamento de refrigerante, ventilador de refrigeração do radiador defeituoso (se aplicável), mangueiras danificadas, regulador de temperatura com defeito, bomba de líquido arrefecedor de água com revestimento defeituoso, aftecooler ou carga excessiva no sistema.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",
273-3,Turbocharger Outlet Pressure Sensor: Voltage Above Normal,Sensor de Pressão de Saída do Turbocompressor: Voltagem Acima do Normal,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
2738-3,Turbocharger #1 Compressor Inlet Pressure Sensor:Voltage Above Normal,"
Turbocompressor # 1 Sensor de Pressão de Entrada do Compressor: Voltagem Acima do Normal","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E17(1),High Engine Coolant Temperature Warning,Aviso de Temperatura Elevada do Líquido Arrefecedor do Motor,"Baixo nível do líquido de arrefecimento, qualidade do refrigerante, ar no sistema de arrefecimento, radiador, vazamento de refrigerante, ventilador de refrigeração do radiador defeituoso (se aplicável), mangueiras danificadas, regulador de temperatura com defeito, bomba de líquido arrefecedor de água com revestimento defeituoso, aftecooler ou carga excessiva no sistema.",,
J1141-5,Engine Exhaust Gas Port 5 Temperature:Current Below Normal ,Corrente abaixo do Normal no Sensor de Gás de Exaustão do Motor na Porta 5,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
J1147-5,Engine Exhaust Gas Port 11 Temperature:Current Below Normal,Corrente abaixo do Normal no Sensor de Gás de Exaustão do Motor na Porta 11,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E13(3),High Crankcase Pressure Shutdown,Alta pressão no Cárter com Shutdown,"Componentes do motor desgastados, Respiro do cárter obstruído","Checagem do blowby, guias de válvulas, selos do turbocompressor, respiro do motor/separador de óleo. O incorreto funcionamento do respiro do motor também pode causar vazamentos nos retentores do eixo virabrequim, pela elevada pressão no cárter.",
101-3,Crankcase Air Pressure Sensor: Voltage Above Normal,Sensor de Pressão de Ar do Cárter: Voltagem Acima do Normal,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
J1147-5,Crankcase Air Pressure Sensor: Voltage Above Normal,Corrente abaixo do Normal no Sensor de Gás de Exaustão do Motor na Porta 11,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
6-5,Cylinder #6 Injector:Current Below Normal,Cilindro #6 injetor: Corrente abaixo do normal,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto",
247-9,SAE J1939 Data Link:Abnormal Update Rate ,,Taxa de atualização anormal de algum módulo conectado à rede J1939. , Atualziação de todos os equipamentos da rede J1939 a fim de evitar conflitos de comunicação,
94-17,Engine Fuel Delivery Pressure Low ,Baixa Pressão de Combustível na Entrada,"Nível de combustível, Tampa do tanque de combustível, Sensores de pressão de combustível, Válvula reguladora de pressão de combustível, Bomba de escorva de combustível (se equipada), Bomba de transferência de combustível, Necessidade de troca do filtro de combustível.","Verificar nível do tanque de combustível, verificar tampa/respiro do tanque em busca de detritos, verificar sensores de combustível, verificar bomba de escorva de combustível, verificar bomba de transferência de combustível, verificar a vida útil dos filtros de combustível.",
655-06,Engine Injector Cylinder #09 Current Above Normal,Cilindro #5 injetor: Corrente acima do normal,"O ECM detecta um curto circuito. Normalmente, problemas com o solenóide do injetor ocorrem quando o motor está aquecido e/ou quando o motor está sob vibração (cargas pesadas)","Realizar um Teste de solenóide do injetor, Inspecione os conectores elétricos e a fiação, Execute um Teste de Corte do Cilindro, Verifique o chicote entre o ECM e a base da tampa da válvula em busca de um circuito aberto, Verifique o chicote entre o ECM e a tampa da válvula em busca de um curto-circuito, 
Verifique o chicote do injetor sob a tampa da válvula em busca de um circuito aberto ou um curto-circuito, Verifique se o ECM está em operação adequada.",
655-06,Engine Injector Cylinder #05 Current Above Normal,Cilindro #5 injetor: Corrente acima do normal,"O ECM detecta um curto circuito. Normalmente, problemas com o solenóide do injetor ocorrem quando o motor está aquecido e/ou quando o motor está sob vibração (cargas pesadas)","Realizar um Teste de solenóide do injetor, Inspecione os conectores elétricos e a fiação, Execute um Teste de Corte do Cilindro, Verifique o chicote entre o ECM e a base da tampa da válvula em busca de um circuito aberto, Verifique o chicote entre o ECM e a tampa da válvula em busca de um curto-circuito, 
Verifique o chicote do injetor sob a tampa da válvula em busca de um circuito aberto ou um curto-circuito, Verifique se o ECM está em operação adequada.",
653-06,Engine Injector Cylinder #03 Current Above Normal,Cilindro #3 injetor: Corrente acima do normal,"O ECM detecta um curto circuito. Normalmente, problemas com o solenóide do injetor ocorrem quando o motor está aquecido e/ou quando o motor está sob vibração (cargas pesadas)","Realizar um Teste de solenóide do injetor, Inspecione os conectores elétricos e a fiação, Execute um Teste de Corte do Cilindro, Verifique o chicote entre o ECM e a base da tampa da válvula em busca de um circuito aberto, Verifique o chicote entre o ECM e a tampa da válvula em busca de um curto-circuito, 
Verifique o chicote do injetor sob a tampa da válvula em busca de um circuito aberto ou um curto-circuito, Verifique se o ECM está em operação adequada.",
651-06,Engine Injector Cylinder #01 Current Above Normal,Cilindro #1 injetor: Corrente acima do normal,"O ECM detecta um curto circuito. Normalmente, problemas com o solenóide do injetor ocorrem quando o motor está aquecido e/ou quando o motor está sob vibração (cargas pesadas)","Realizar um Teste de solenóide do injetor, Inspecione os conectores elétricos e a fiação, Execute um Teste de Corte do Cilindro, Verifique o chicote entre o ECM e a base da tampa da válvula em busca de um circuito aberto, Verifique o chicote entre o ECM e a tampa da válvula em busca de um curto-circuito, 
Verifique o chicote do injetor sob a tampa da válvula em busca de um circuito aberto ou um curto-circuito, Verifique se o ECM está em operação adequada.",
654-06,Engine Injector Cylinder #04 Current Above Normal,Cilindro #4 injetor: Corrente acima do normal,"O ECM detecta um curto circuito. Normalmente, problemas com o solenóide do injetor ocorrem quando o motor está aquecido e/ou quando o motor está sob vibração (cargas pesadas)","Realizar um Teste de solenóide do injetor, Inspecione os conectores elétricos e a fiação, Execute um Teste de Corte do Cilindro, Verifique o chicote entre o ECM e a base da tampa da válvula em busca de um circuito aberto, Verifique o chicote entre o ECM e a tampa da válvula em busca de um curto-circuito, 
Verifique o chicote do injetor sob a tampa da válvula em busca de um circuito aberto ou um curto-circuito, Verifique se o ECM está em operação adequada.",
E12(2),High Crankcase Pressure Derate,Alta pressão no Cárter com Desaceleração,"Componentes do motor desgastados, Respiro do cárter obstruído","Checagem do blowby, guias de válvulas, selos do turbocompressor, respiro do motor/separador de óleo. O incorreto funcionamento do respiro do motor também pode causar vazamentos nos retentores do eixo virabrequim, pela elevada pressão no cárter.",
11-5,Cylinder #11 Injector:Current Below Normal,Cilindro #11 injetor: Corrente abaixo do normal,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto",
110-15,Engine Coolant Temperature High,Sistema de arrefecimento do motor com temperatura alta,"Nível de fluido de arrefecimento baixo, qualidade do fluido, ar no sistema de arrefecimento, válvula termostática, bomba de água de jaqueta, aftercooler.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",
337-2,"Remote Emergency Stop Switch: Erratic, Intermittent, or Incorrect ",,"O ECM do motor recebe dois sinais de entrada a partir do mesmo interruptor de parada de emergência. Esses sinais permitem o ECM determinar o status do interruptor de parada de emergência. O ECM irá desligar o motor se ambos os sinais estiverem ""em aberto"". Se durante a partida do motor, forem detectados dois sinais diferentes oriundo do interruptor, o ECM entenderá que um dos sinais está incorreto e o motor irá partir normalmente. E o alerta será emitido.",Verificar o correto funcionamento das botoeiras de parada.,
336-2,"Engine Control Switch : Erratic, Intermittent, or Incorrect ",,As duas entradas do ECS (Engine control Switch) estão no estado oposto ,O Módulo de Controle Eletrônico (ECM) do motor recebe três sinais que permitem ao ECM determinar o modo de operação. Os sinais de entrada em P1-21 e P1-22 informam ao ECM a posição do ECS. Os sinais de entrada em P1-21 e P1-22 devem estar no mesmo potencial ou um código de diagnóstico será gerado.,
